author_id,PhD Year
A_AGUIRRE,2003
A_SCHILLING,1997
A_YILDIZ,2001
A_ZEE,1970
B_GRINSTEIN,1984
B_NACHTERGAELE,1987
B_SHASTRY,1976
C_DONG,1986
D_BERENSTEIN,1998
E_D'HOKER,1981
E_MA,1970
H_WIDOM,1955
J_GUNION,1970
J_HIRSCH,1980
J_ROBERTS,1994
K_LIU,1993
M_AGANAGIC,1999
M_BANDER,1962
M_GROSS,1990
M_SREDNICKI,1980
N_RESHETIKHIN,1984
P_HORAVA,1991
R_FINKELSTEIN,1941
R_PECCEI,1969
R_YE,1987
S_CARLIP,1987
S_PROFUMO,2004
V_BARANOVSKY,2000
Y_NOMURA,2000
Y_SHIRMAN,1997
Z_BERN,1970
A_ALBRECHT,1983
A_KUSENKO,1994
A_MAJUMDAR,1989
A_MANOHAR,1983
A_SCHWARZ,1960
A_WALDRON,1997
C_FRONSDAL,1957
D_MAROLF,1992
E_POLETAEVA,1992
E_TOMBOULIS,1976
G_HOROWITZ,1979
H_HAMBER,1980
H_MURAYAMA,1991
J_BAEZ,1986
J_CORNWALL,1962
J_RABIN,1981
J_WUDKA,1986
K_INTRILIGATOR,1992
M_DINE,1978
M_GUTPERLE,1997
M_HALPERN,1964
N_KALOPER,1992
O_GANOR,1996
P_KRAUS,1995
R_BOUSSO,1998
S_FERRARA,1968
S_GHOSH,1976
S_GIDDINGS,1987
T_BANKS,1973
W_WONG,1990